dataset,series,method,seed,score_file,label_offset,points,anomaly_ratio,ap,auc,best_f1,best_precision,best_recall,f1_q95,f1_q97,f1_q99,f1_q995,f1_mad3,precision_q99,recall_q99,precision_mad3,recall_mad3,event_f1_q95,event_f1_q97,event_f1_q99,event_f1_q995,event_f1_mad3,easytsad_event_f1_log,easytsad_event_precision_log,easytsad_event_recall_log,easytsad_event_threshold_log,easytsad_point_f1_pa,easytsad_point_precision_pa,easytsad_point_recall_pa,easytsad_point_threshold_pa
UCR,DISTORTEDtiltAPB4,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/DISTORTEDtiltAPB4.npy,16,107985,0.000009,0.500000,0.999991,0.666667,0.500000,1.000000,0.000370,0.000617,0.001850,0.003697,0.000139,0.000926,1.000000,0.000069,1.000000,0.000406,0.000664,0.001938,0.003861,0.000166,0.666667,0.500000,1.000000,4.079803,0.666667,0.500000,1.000000,4.079803
UCR,ECG1,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/ECG1.npy,16,19984,0.015012,0.157370,0.731631,0.209749,0.188329,0.236667,0.158462,0.193333,0.180000,0.180000,0.074762,0.225000,0.150000,0.040180,0.536667,0.075314,0.111857,0.208333,0.372549,0.024009,1.000000,1.000000,1.000000,0.386682,1.000000,1.000000,1.000000,0.386682
UCR,ECG2,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/ECG2.npy,16,14984,0.006674,0.121053,0.747355,0.169231,0.366667,0.110000,0.077647,0.090909,0.144000,0.137143,0.029194,0.120000,0.180000,0.014943,0.630000,0.041667,0.037736,0.090909,0.114286,0.014493,1.000000,1.000000,1.000000,0.447296,1.000000,1.000000,1.000000,0.447296
UCR,ECG3,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/ECG3.npy,16,14984,0.006674,0.050173,0.468820,0.126984,0.307692,0.080000,0.030588,0.047273,0.080000,0.102857,0.012766,0.066667,0.100000,0.006618,0.180000,0.010563,0.016713,0.060606,0.115942,0.004737,1.000000,1.000000,1.000000,0.101314,1.000000,1.000000,1.000000,0.101314
UCR,ECG4,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/ECG4.npy,16,21984,0.004549,0.052812,0.385709,0.130719,0.188679,0.100000,0.016667,0.026316,0.062500,0.095238,0.006148,0.045455,0.100000,0.003143,0.140000,0.011792,0.018349,0.050000,0.097087,0.003736,1.000000,1.000000,1.000000,0.167270,1.000000,1.000000,1.000000,0.167270
UCR,Fantasia,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/Fantasia.npy,16,72984,0.004110,0.015900,0.547478,0.054670,0.086331,0.040000,0.028861,0.032129,0.036893,0.042105,0.021053,0.026027,0.063333,0.010989,0.250000,0.024139,0.031288,0.049767,0.073864,0.016120,0.909091,0.833333,1.000000,0.027258,0.998336,0.996678,1.000000,0.027258
UCR,GP711MarkerLFM5z1,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/GP711MarkerLFM5z1.npy,16,6984,0.006300,0.019623,0.382948,0.074766,0.063492,0.090909,0.025381,0.039370,0.070175,0.050633,0.014286,0.057143,0.090909,0.007622,0.113636,0.023810,0.035088,0.100000,0.200000,0.015385,0.750000,0.600000,1.000000,0.007070,0.977778,0.956522,1.000000,0.007070
UCR,GP711MarkerLFM5z2,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/GP711MarkerLFM5z2.npy,16,6984,0.030498,0.086874,0.667027,0.191571,0.161812,0.234742,0.181172,0.151300,0.084806,0.048387,0.090688,0.171429,0.056338,0.049623,0.525822,0.166667,0.236842,0.372093,0.416667,0.058309,0.666667,0.500000,1.000000,0.006644,0.990698,0.981567,1.000000,0.006644
UCR,GP711MarkerLFM5z3,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/GP711MarkerLFM5z3.npy,16,6984,0.006443,0.351556,0.808714,0.556962,0.647059,0.488889,0.136709,0.188235,0.417391,0.550000,0.051724,0.342857,0.533333,0.027027,0.600000,0.086957,0.101695,0.285714,0.750000,0.045802,1.000000,1.000000,1.000000,0.489513,1.000000,1.000000,1.000000,0.489513
UCR,GP711MarkerLFM5z4,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/GP711MarkerLFM5z4.npy,16,7984,0.014780,0.237309,0.714730,0.370000,0.451220,0.313559,0.216216,0.284916,0.363636,0.316456,0.215385,0.450000,0.305085,0.139303,0.474576,0.107527,0.176471,0.518519,0.705882,0.107527,0.727273,0.571429,1.000000,0.144278,0.987448,0.975207,1.000000,0.144278
UCR,GP711MarkerLFM5z5,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/GP711MarkerLFM5z5.npy,16,6984,0.014891,0.058817,0.701277,0.143590,0.153846,0.134615,0.110132,0.121019,0.114943,0.100719,0.055762,0.142857,0.096154,0.029801,0.432692,0.093458,0.083333,0.400000,0.470588,0.051282,0.470588,0.307692,1.000000,0.091051,0.958525,0.920354,1.000000,0.091051
UCR,InternalBleeding10,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding10.npy,16,4285,0.007001,0.276413,0.634861,0.390244,0.727273,0.266667,0.089796,0.125786,0.273973,0.307692,0.042553,0.232558,0.333333,0.022375,0.433333,0.053476,0.086957,0.250000,0.416667,0.021552,1.000000,1.000000,1.000000,2.354583,1.000000,1.000000,1.000000,2.354583
UCR,InternalBleeding14,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding14.npy,16,4685,0.005763,0.565321,0.860741,0.682927,1.000000,0.518519,0.137405,0.190476,0.405405,0.588235,0.061256,0.319149,0.555556,0.031949,0.740741,0.023256,0.036697,0.176471,0.400000,0.012848,1.000000,1.000000,1.000000,6.294819,1.000000,1.000000,1.000000,6.294819
UCR,InternalBleeding15,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding15.npy,16,5885,0.028887,0.019881,0.311347,0.056357,0.028995,1.000000,0.025806,0.000000,0.000000,0.000000,0.028542,0.000000,0.000000,0.017263,0.082353,0.030418,0.000000,0.000000,0.000000,0.015674,0.039409,0.020101,1.000000,0.009148,0.635514,0.465753,1.000000,0.009148
UCR,InternalBleeding16,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding16.npy,16,6285,0.001909,0.614700,0.917291,0.666667,0.666667,0.666667,0.067278,0.109453,0.293333,0.454545,0.025882,0.174603,0.916667,0.013126,0.916667,0.014815,0.025000,0.095238,0.333333,0.005970,1.000000,1.000000,1.000000,9.280019,1.000000,1.000000,1.000000,9.280019
UCR,InternalBleeding17,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding17.npy,16,5884,0.018865,0.929460,0.985184,0.911504,0.895652,0.927928,0.522167,0.729167,0.682353,0.411348,0.224066,0.983051,0.522523,0.126612,0.972973,0.067416,0.191781,0.979592,0.976744,0.013158,1.000000,1.000000,1.000000,12.784838,1.000000,1.000000,1.000000,12.784838
UCR,InternalBleeding18,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding18.npy,16,5184,0.019676,0.891423,0.960487,0.918367,0.957447,0.882353,0.508287,0.713178,0.662338,0.406250,0.239796,0.980769,0.500000,0.137830,0.921569,0.120482,0.263158,0.981132,1.000000,0.031311,1.000000,1.000000,1.000000,3.808966,1.000000,1.000000,1.000000,3.808966
UCR,InternalBleeding19,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/UCR/InternalBleeding19.npy,16,4484,0.002230,0.723145,0.998972,0.782609,0.692308,0.900000,0.085106,0.137931,0.363636,0.545455,0.034188,0.222222,1.000000,0.017391,1.000000,0.011111,0.019048,0.076923,0.444444,0.004444,1.000000,1.000000,1.000000,3.623403,1.000000,1.000000,1.000000,3.623403
