dataset,series,method,seed,provenance,score_file,label_offset,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
Yahoo,A4Benchmark-TS49,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS49.npy,16,824,0.004854,0.666667,0.600000,0.750000,0.057913,0.666667,0.600000,0.750000,0.057913
Yahoo,A4Benchmark-TS5,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS5.npy,16,824,0.002427,0.571429,0.400000,1.000000,0.077245,0.571429,0.400000,1.000000,0.077245
Yahoo,A4Benchmark-TS50,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS50.npy,16,824,0.006068,0.750000,1.000000,0.600000,0.944955,0.750000,1.000000,0.600000,0.944955
Yahoo,A4Benchmark-TS51,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS51.npy,16,824,0.001214,1.000000,1.000000,1.000000,0.213567,1.000000,1.000000,1.000000,0.213567
Yahoo,A4Benchmark-TS52,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS52.npy,16,824,0.007282,0.769231,0.714286,0.833333,0.190404,0.769231,0.714286,0.833333,0.190404
Yahoo,A4Benchmark-TS53,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS53.npy,16,824,0.001214,0.666667,0.500000,1.000000,0.186577,0.666667,0.500000,1.000000,0.186577
Yahoo,A4Benchmark-TS54,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS54.npy,16,824,0.001214,1.000000,1.000000,1.000000,0.281541,1.000000,1.000000,1.000000,0.281541
Yahoo,A4Benchmark-TS55,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS55.npy,16,824,0.001214,0.666667,0.500000,1.000000,0.169267,0.666667,0.500000,1.000000,0.169267
Yahoo,A4Benchmark-TS56,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS56.npy,16,824,0.012136,0.777778,0.875000,0.700000,0.069282,0.777778,0.875000,0.700000,0.069282
Yahoo,A4Benchmark-TS57,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS57.npy,16,824,0.004854,0.857143,1.000000,0.750000,0.435212,0.857143,1.000000,0.750000,0.435212
Yahoo,A4Benchmark-TS58,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS58.npy,16,824,0.003641,0.571429,0.500000,0.666667,0.057528,0.571429,0.500000,0.666667,0.057528
Yahoo,A4Benchmark-TS59,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS59.npy,16,824,0.001214,0.666667,0.500000,1.000000,0.014215,0.666667,0.500000,1.000000,0.014215
Yahoo,A4Benchmark-TS6,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS6.npy,16,824,0.001214,1.000000,1.000000,1.000000,0.057013,1.000000,1.000000,1.000000,0.057013
Yahoo,A4Benchmark-TS60,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS60.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.052830,0.666667,0.500000,1.000000,0.052830
Yahoo,A4Benchmark-TS61,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS61.npy,16,824,0.001214,0.666667,0.500000,1.000000,0.300616,0.666667,0.500000,1.000000,0.300616
Yahoo,A4Benchmark-TS62,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS62.npy,16,824,0.007282,0.118812,0.063158,1.000000,0.000582,0.118812,0.063158,1.000000,0.000582
Yahoo,A4Benchmark-TS63,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS63.npy,16,824,0.002427,1.000000,1.000000,1.000000,0.202853,1.000000,1.000000,1.000000,0.202853
Yahoo,A4Benchmark-TS64,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS64.npy,16,824,0.003641,0.666667,0.666667,0.666667,0.081019,0.666667,0.666667,0.666667,0.081019
Yahoo,A4Benchmark-TS65,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS65.npy,16,824,0.010922,0.782609,0.642857,1.000000,0.123049,0.782609,0.642857,1.000000,0.123049
Yahoo,A4Benchmark-TS66,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS66.npy,16,824,0.000000,nan,nan,nan,nan,nan,nan,nan,nan
Yahoo,A4Benchmark-TS67,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS67.npy,16,824,0.008495,0.700000,0.538462,1.000000,0.060904,0.700000,0.538462,1.000000,0.060904
